Feature Subset,Test Accuracy,Precision,Recall,F1 Score
Subset 1 (Highly Important Features),82.54 %,68.04 %,39.78 %,0.5021
Subset 2 (All Features),89.76 %,78.18 %,74.49 %,0.7629
