Remaining Features,Validation Accuracy,Precision,Recall,F1 Score
22,89.70000147819519,77.70833333333333,74.93721747865393,0.7629762209153669
21,89.66666460037231,77.61582509109839,74.8869914615771,0.7622699386503068
20,89.76666927337646,77.98117154811716,74.8869914615771,0.7640276710222905
19,89.70000147819519,77.73722627737226,74.8869914615771,0.762854950115119
18,89.1777753829956,75.93064762876084,74.7865394274234,0.7535425101214575
17,88.89999985694885,75.54067971163748,73.6815670517328,0.7459954233409611
16,88.78889083862305,75.46680497925311,73.07885484681064,0.7425363613166625
15,88.78889083862305,75.54630593132154,72.92817679558011,0.7421415793508817
14,88.83333206176758,75.57053941908714,73.17930688096433,0.7435570298545547
13,88.7333333492279,75.3502854177478,72.92817679558011,0.7411944869831547
12,88.78889083862305,75.07660878447395,73.83224510296333,0.7444922765257027
11,88.77778053283691,75.11520737327189,73.6815670517328,0.7439148073022313
10,88.77778053283691,75.24446731857951,73.43043696634857,0.7432638535841383
9,88.57777714729309,74.35508345978755,73.83224510296333,0.7409274193548387
8,88.26666474342346,75.25661804430038,69.9648417880462,0.7251431546069755
7,88.23333382606506,74.94646680942184,70.31642390758412,0.7255765742420316
6,87.98888921737671,74.75516866158868,69.01054746358614,0.7176808566205276
5,87.95555830001831,74.18666666666667,69.86438975389252,0.71960682876358
4,82.36666917800903,68.39708561020036,37.7197388247112,0.48624150210424083
3,82.24444389343262,68.04407713498622,37.21747865394274,0.4811688311688312
2,82.21111297607422,68.29268292682927,36.56454043194375,0.4762839385017992
1,81.58888816833496,72.14854111405835,27.32295328980412,0.3963570127504554
